ticket_id,customer_id,ticket_date,category,priority,channel,resolution_time_hours,satisfaction_score,status
TKT_000001,CUST_000001,2024-06-26,Account,Low,Phone,8.87,4.0,Closed
TKT_000002,CUST_000002,2024-06-14,Technical,Low,Email,22.12,4.0,Closed
TKT_000003,CUST_000003,2024-06-14,Transaction,Medium,Email,27.01,3.0,Closed
TKT_000004,CUST_000004,2024-07-06,Technical,Low,Email,5.31,2.0,Closed
TKT_000005,CUST_000004,2024-05-09,Account,Low,Email,9.64,3.0,Closed
TKT_000006,CUST_000004,2024-06-08,Other,Low,Phone,33.95,5.0,Closed
TKT_000007,CUST_000005,2024-08-16,Fraud,Low,App,2.6,3.0,Closed
TKT_000008,CUST_000006,2024-07-15,Transaction,Low,App,33.78,5.0,Closed
TKT_000009,CUST_000007,2024-06-10,Fraud,Low,Email,0.72,2.0,Closed
TKT_000010,CUST_000008,2024-08-26,Technical,Low,Phone,7.79,2.0,Closed
TKT_000011,CUST_000011,2024-09-29,Technical,Medium,Email,42.26,1.0,Closed
TKT_000012,CUST_000012,2024-06-22,Transaction,Medium,Phone,8.39,1.0,Closed
TKT_000013,CUST_000014,2024-06-28,Technical,Medium,Phone,7.43,5.0,Closed
TKT_000014,CUST_000015,2024-06-07,Transaction,Low,App,7.96,3.0,Closed
TKT_000015,CUST_000015,2024-09-13,Fraud,Low,Phone,0.56,1.0,Closed
TKT_000016,CUST_000015,2024-09-01,Card,Low,Email,,,Open
TKT_000017,CUST_000015,2024-07-25,Technical,Medium,App,12.59,5.0,Closed
TKT_000018,CUST_000016,2024-10-13,Transaction,Low,Email,18.11,3.0,Closed
TKT_000019,CUST_000016,2024-09-16,Technical,Low,App,13.87,2.0,Closed
TKT_000020,CUST_000017,2024-09-18,Account,Low,Email,41.81,2.0,Closed
TKT_000021,CUST_000017,2024-06-30,Transaction,Medium,Phone,25.1,1.0,Closed
TKT_000022,CUST_000017,2024-08-06,Other,High,App,64.35,4.0,Closed
TKT_000023,CUST_000017,2024-10-24,Other,Low,Email,6.9,2.0,Closed
TKT_000024,CUST_000017,2024-10-26,Transaction,Low,Chat,2.14,5.0,Closed
