customer_id,age,state,account_age_days,tier,device_type,kyc_status,registration_date,is_churned,churn_date
CUST_000001,20.0,Terengganu,20,Basic,Android,Incomplete,2024-10-11,1,2024-10-24
CUST_000002,20.0,Kuala Lumpur,24,Basic,iOS,Verified,2024-10-07,0,
CUST_000003,19.0,,6,Basic,,Verified,2024-10-25,0,
CUST_000004,18.0,Johor,17,Basic,Android,Verified,2024-10-14,1,2024-10-03
CUST_000005,20.0,Kuala Lumpur,19,Basic,,Verified,2024-10-12,1,2024-10-26
CUST_000006,20.0,Kelantan,18,Basic,,Verified,2024-10-13,0,
CUST_000007,20.0,Selangor,28,Basic,Android,Verified,2024-10-03,1,2024-10-17
CUST_000008,19.0,Selangor,6,Basic,Android,Verified,2024-10-25,1,2024-10-13
CUST_000009,19.0,Johor,4,Basic,Both,Verified,2024-10-27,1,2024-10-08
CUST_000010,18.0,Sabah,16,Basic,Android,Verified,2024-10-15,0,
CUST_000011,18.0,Kuala Lumpur,9,Basic,iOS,Verified,2024-10-22,1,2024-10-22
CUST_000012,20.0,Selangor,11,Basic,Android,Verified,2024-10-20,0,
CUST_000013,19.0,Kelantan,9,Basic,Both,Verified,2024-10-22,1,2024-10-30
CUST_000014,18.0,Johor,3,Basic,iOS,Verified,2024-10-28,1,2024-10-28
CUST_000015,18.0,Johor,5,Basic,Android,Verified,2024-10-26,1,2024-10-22
CUST_000016,18.0,Selangor,19,Basic,Android,Verified,2024-10-12,1,2024-10-27
CUST_000017,18.0,Sarawak,15,Basic,iOS,Verified,2024-10-16,1,2024-10-04
CUST_000018,19.0,Kuala Lumpur,13,Basic,iOS,Verified,2024-10-18,1,2024-10-19
CUST_000019,20.0,Selangor,26,Basic,Android,Verified,2024-10-05,0,
CUST_000020,18.0,Kuala Lumpur,20,Basic,iOS,Verified,2024-10-11,1,2024-10-04
CUST_000021,67.0,Kuala Lumpur,10,Basic,Both,Verified,2024-10-21,1,2024-10-07
CUST_000022,65.0,Terengganu,26,Basic,iOS,Verified,2024-10-05,0,
CUST_000023,65.0,Penang,27,Basic,Android,Verified,2024-10-04,1,2024-10-26
CUST_000024,78.0,Johor,2,Basic,Android,Verified,2024-10-29,0,
CUST_000025,72.0,Selangor,27,Basic,Both,Verified,2024-10-04,0,
CUST_000026,79.0,Sarawak,16,Basic,iOS,Verified,2024-10-15,0,
CUST_000027,76.0,Selangor,27,Basic,Android,Verified,2024-10-04,0,
CUST_000028,73.0,Kuala Lumpur,1,Basic,Android,Verified,2024-10-30,0,
CUST_000029,66.0,Johor,23,Basic,Android,Verified,2024-10-08,1,2024-10-15
CUST_000030,76.0,Selangor,17,Basic,iOS,Verified,2024-10-14,0,
CUST_000031,73.0,Kuala Lumpur,9,Basic,Android,Verified,2024-10-22,0,
CUST_000032,72.0,,20,Basic,iOS,Verified,2024-10-11,0,
CUST_000033,78.0,Penang,25,Basic,iOS,Verified,2024-10-06,1,2024-10-13
CUST_000034,77.0,Selangor,9,Basic,iOS,Verified,2024-10-22,0,
CUST_000035,72.0,Sabah,7,Basic,iOS,Verified,2024-10-24,0,
